teams1,teams2,score1,score2,date,time,location,game_status,1_1_inning,1_2_inning,1_3_inning,1_4_inning,1_5_inning,1_6_inning,1_7_inning,1_8_inning,1_9_inning,1_10_inning,1_11_inning,1_12_inning,1_R_inning,1_H_inning,1_E_inning,1_B_inning,2_1_inning,2_2_inning,2_3_inning,2_4_inning,2_5_inning,2_6_inning,2_7_inning,2_8_inning,2_9_inning,2_10_inning,2_11_inning,2_12_inning,2_R_inning,2_H_inning,2_E_inning,2_B_inning
NC,삼성,2,3,03.16,13:00,대구,경기종료,0,0,0,0,0,1,0,0,1,-,-,-,2,10,0,2,1,0,2,0,0,0,0,0,-,-,-,-,3,6,1,5
두산,SSG,2,1,03.16,13:00,문학,경기종료,2,0,0,0,0,0,0,0,0,-,-,-,2,3,2,4,0,0,0,0,0,1,0,0,0,-,-,-,1,5,0,1
키움,LG,1,3,03.16,13:00,잠실,경기종료,0,0,0,0,0,0,0,1,0,-,-,-,1,5,0,4,0,0,0,0,0,0,0,3,-,-,-,-,3,2,0,4
한화,롯데,14,2,03.17,13:00,사직,경기종료,2,1,0,4,7,0,0,0,0,-,-,-,14,19,0,5,0,0,2,0,0,0,0,0,0,-,-,-,2,11,1,0
KT,KIA,4,14,03.17,13:00,광주,경기종료,0,0,1,1,0,2,0,0,0,-,-,-,4,7,2,3,2,0,2,3,0,7,0,0,-,-,-,-,14,16,2,3
NC,삼성,5,2,03.17,13:00,대구,경기종료,0,2,0,0,0,3,0,0,0,-,-,-,5,5,1,6,0,0,0,1,1,0,0,0,0,-,-,-,2,6,0,3
두산,SSG,11,6,03.17,13:00,문학,경기종료,0,0,2,4,0,0,1,3,1,-,-,-,11,15,2,4,0,0,0,2,0,1,0,0,3,-,-,-,6,10,0,4
롯데,KT,2,3,03.18,13:00,수원,경기종료,0,0,1,1,0,0,0,0,0,-,-,-,2,5,1,4,0,0,1,0,0,2,0,0,-,-,-,-,3,7,1,5
두산,한화,2,0,03.18,13:00,대전,경기종료,0,0,0,1,0,1,0,0,0,-,-,-,2,4,2,6,0,0,0,0,0,0,0,0,0,-,-,-,0,4,0,2
NC,SSG,1,3,03.18,18:00,문학,경기종료,0,0,0,0,0,0,0,0,1,-,-,-,1,5,1,6,1,0,0,1,0,1,0,0,-,-,-,-,3,4,3,8
삼성,KIA,8,3,03.18,18:00,광주,경기종료,0,0,1,1,0,2,2,0,2,-,-,-,8,13,1,6,0,1,0,0,0,0,0,2,0,-,-,-,3,4,3,1
