teams1,teams2,score1,score2,date,time,location,game_status,1_1_inning,1_2_inning,1_3_inning,1_4_inning,1_5_inning,1_6_inning,1_7_inning,1_8_inning,1_9_inning,1_10_inning,1_11_inning,1_12_inning,1_R_inning,1_H_inning,1_E_inning,1_B_inning,2_1_inning,2_2_inning,2_3_inning,2_4_inning,2_5_inning,2_6_inning,2_7_inning,2_8_inning,2_9_inning,2_10_inning,2_11_inning,2_12_inning,2_R_inning,2_H_inning,2_E_inning,2_B_inning
KT,NC,7,8,04.11,18:30,창원,경기종료,1,0,0,0,3,0,2,1,0,0,-,-,7,12,1,3,1,0,2,0,0,0,3,1,0,0,-,-,8,15,1,6
LG,KIA,4,8,04.11,18:30,광주,경기종료,2,0,0,0,0,0,0,2,0,-,-,-,4,9,0,3,0,0,4,0,0,1,2,1,-,-,-,-,8,15,3,5
삼성,롯데,4,0,04.11,18:30,사직,경기종료,0,2,0,0,0,0,0,0,2,-,-,-,4,8,0,4,0,0,0,0,0,0,0,0,0,-,-,-,0,6,0,2
키움,SSG,5,2,04.11,18:30,문학,경기종료,0,0,3,0,0,0,2,0,0,-,-,-,5,11,1,1,0,0,0,0,2,0,0,0,0,-,-,-,2,5,2,2
KIA,한화,8,4,04.12,18:30,대전,경기종료,0,1,1,1,0,0,1,3,1,-,-,-,8,9,2,11,1,0,0,0,0,1,0,2,0,-,-,-,4,8,0,4
LG,두산,2,1,04.12,18:30,잠실,경기종료,0,0,0,0,0,0,2,0,0,-,-,-,2,4,0,4,0,0,1,0,0,0,0,0,0,-,-,-,1,2,0,3
롯데,키움,4,9,04.12,18:30,고척,경기종료,0,0,0,0,0,0,4,0,0,-,-,-,4,6,2,2,0,0,2,2,3,0,0,2,-,-,-,-,9,15,1,5
NC,삼성,8,3,04.12,18:30,대구,경기종료,3,2,1,0,2,0,0,0,0,-,-,-,8,11,0,8,0,1,0,0,0,1,0,1,0,-,-,-,3,9,0,2
SSG,KT,3,8,04.12,18:30,수원,경기종료,1,0,0,0,0,1,1,0,0,-,-,-,3,8,4,4,1,3,0,1,0,0,0,3,-,-,-,-,8,15,1,6
KIA,한화,11,9,04.13,14:00,대전,경기종료,0,0,6,2,0,1,2,0,0,-,-,-,11,15,1,8,0,0,0,0,2,0,7,0,0,-,-,-,9,14,2,6
LG,두산,2,5,04.13,17:00,잠실,경기종료,0,0,0,1,0,0,1,0,0,-,-,-,2,10,0,8,0,0,2,0,3,0,0,0,-,-,-,-,5,9,0,4
롯데,키움,1,8,04.13,17:00,고척,경기종료,1,0,0,0,0,0,0,0,0,-,-,-,1,8,0,3,0,0,4,0,0,0,4,0,-,-,-,-,8,11,0,3
NC,삼성,4,3,04.13,17:00,대구,경기종료,0,0,1,0,0,0,0,3,0,-,-,-,4,6,0,4,0,0,0,1,0,1,0,0,1,-,-,-,3,13,1,4
SSG,KT,11,8,04.13,17:00,수원,경기종료,4,3,0,0,0,4,0,0,0,-,-,-,11,21,0,4,0,0,3,0,0,0,0,4,1,-,-,-,8,10,1,5
KIA,한화,5,2,04.14,14:00,대전,경기종료,2,0,0,0,0,0,2,0,1,-,-,-,5,7,0,7,0,0,0,1,0,1,0,0,0,-,-,-,2,9,1,1
LG,두산,5,9,04.14,14:00,잠실,경기종료,1,1,0,0,0,0,2,0,1,-,-,-,5,13,5,4,0,2,3,0,0,0,2,2,-,-,-,-,9,10,1,3
롯데,키움,5,7,04.14,14:00,고척,경기종료,0,0,0,2,0,0,0,2,1,-,-,-,5,8,0,9,3,0,2,0,2,0,0,0,-,-,-,-,7,16,1,6
NC,삼성,5,12,04.14,14:00,대구,경기종료,0,0,1,1,0,0,0,3,0,-,-,-,5,12,0,2,0,0,3,3,0,1,2,3,-,-,-,-,12,13,0,4
SSG,KT,8,1,04.14,14:00,수원,경기종료,1,0,0,3,0,0,2,0,2,-,-,-,8,12,0,3,0,0,0,0,0,1,0,0,0,-,-,-,1,9,0,5
한화,NC,7,4,04.16,18:30,창원,경기종료,0,0,0,0,0,0,4,0,3,-,-,-,7,6,1,9,1,0,2,0,0,0,1,0,0,-,-,-,4,10,2,3
KIA,SSG,4,6,04.16,18:30,문학,경기종료,1,0,1,0,0,0,1,1,0,-,-,-,4,9,0,2,0,3,0,0,0,0,0,0,3,-,-,-,6,13,0,2
KT,키움,3,6,04.16,18:30,고척,경기종료,0,0,1,0,0,2,0,0,0,-,-,-,3,8,1,3,0,1,2,1,0,0,0,2,-,-,-,-,6,8,0,5
롯데,LG,2,7,04.16,18:30,잠실,경기종료,0,0,0,0,0,1,0,1,0,-,-,-,2,6,0,3,0,3,0,0,0,0,4,0,-,-,-,-,7,12,0,2
두산,삼성,5,7,04.16,18:30,대구,경기종료,0,0,0,2,0,1,2,0,0,-,-,-,5,7,0,3,2,0,3,0,0,2,0,0,-,-,-,-,7,8,1,7
한화,NC,3,4,04.17,18:30,창원,경기종료,0,0,1,1,0,0,0,1,0,-,-,-,3,12,0,1,0,0,0,3,0,0,0,1,-,-,-,-,4,3,0,4
KIA,SSG,11,3,04.17,18:30,문학,경기종료,2,0,2,1,0,0,3,0,3,-,-,-,11,12,1,7,0,0,0,0,0,1,1,1,0,-,-,-,3,9,1,5
KT,키움,6,4,04.17,18:30,고척,경기종료,0,0,4,0,0,0,0,0,2,-,-,-,6,11,0,3,0,1,0,0,0,3,0,0,0,-,-,-,4,10,2,5
롯데,LG,5,6,04.17,18:30,잠실,경기종료,0,2,0,0,1,0,0,0,2,-,-,-,5,14,1,6,0,2,1,0,0,2,0,0,1,-,-,-,6,11,0,5
두산,삼성,2,9,04.17,18:30,대구,경기종료,0,0,0,1,0,0,0,0,1,-,-,-,2,8,0,5,1,6,1,0,1,0,0,0,-,-,-,-,9,16,0,4
한화,NC,-,-,04.18,18:30,창원,경기취소,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KIA,SSG,5,7,04.18,18:30,문학,경기종료,0,0,0,1,0,3,1,0,0,-,-,-,5,8,1,3,2,3,0,0,0,0,2,0,-,-,-,-,7,8,1,2
KT,키움,3,0,04.18,18:30,고척,경기종료,0,2,0,0,1,0,0,0,0,-,-,-,3,12,1,3,0,0,0,0,0,0,0,0,0,-,-,-,0,1,0,2
롯데,LG,9,2,04.18,18:30,잠실,경기종료,2,0,0,0,0,1,6,0,0,-,-,-,9,13,1,3,0,0,0,2,0,0,0,0,0,-,-,-,2,5,3,1
두산,삼성,2,5,04.18,18:30,대구,경기종료,0,0,0,0,0,0,0,0,2,-,-,-,2,6,0,4,4,0,1,0,0,0,0,0,-,-,-,-,5,5,0,6
KT,롯데,3,4,04.19,18:30,사직,경기종료,0,0,0,3,0,0,0,0,0,-,-,-,3,7,0,1,1,0,0,0,0,0,3,0,-,-,-,-,4,11,1,5
LG,SSG,4,1,04.19,18:30,문학,경기종료,0,0,1,0,1,1,1,0,0,-,-,-,4,7,2,3,1,0,0,0,0,0,0,0,0,-,-,-,1,4,1,3
NC,KIA,3,4,04.19,18:30,광주,경기종료,0,1,1,0,0,0,1,0,0,0,-,-,3,10,2,4,0,2,0,0,0,1,0,0,0,0,-,-,4,5,0,4
삼성,한화,1,6,04.19,18:30,대전,경기종료,0,0,0,0,0,0,1,0,0,-,-,-,1,7,1,1,0,0,1,2,0,2,1,0,-,-,-,-,6,10,1,5
키움,두산,8,19,04.19,18:30,잠실,경기종료,1,3,1,1,0,1,0,1,0,-,-,-,8,13,3,5,0,3,1,9,0,1,0,5,-,-,-,-,19,22,1,4
KT,롯데,-,-,04.20,17:00,사직,경기취소,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LG,SSG,-,-,04.20,17:00,문학,경기취소,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
키움,두산,-,-,04.20,17:00,잠실,경기취소,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NC,KIA,2,9,04.20,17:00,광주,경기종료,1,0,0,0,0,0,0,0,1,-,-,-,2,5,2,3,0,0,1,0,5,0,3,0,-,-,-,-,9,9,1,5
삼성,한화,1,0,04.20,17:00,대전,경기종료,0,0,0,1,0,0,0,0,0,-,-,-,1,9,0,3,0,0,0,0,0,0,0,0,0,-,-,-,0,6,1,3
KT,롯데,9,9,04.21,14:00,사직,경기종료,0,0,2,0,1,0,6,0,0,-,-,-,9,8,1,4,1,0,1,0,1,0,6,0,0,-,-,-,9,12,2,5
LG,SSG,10,8,04.21,14:00,문학,경기종료,0,2,0,0,0,3,5,0,0,-,-,-,10,11,1,4,4,0,2,0,2,0,0,0,0,-,-,-,8,10,0,4
NC,KIA,15,4,04.21,14:00,광주,경기종료,0,0,4,1,4,0,3,1,2,-,-,-,15,16,2,11,1,0,0,1,2,0,0,0,0,-,-,-,4,9,0,6
삼성,한화,5,3,04.21,14:00,대전,경기종료,0,0,0,0,2,0,3,0,0,-,-,-,5,8,0,7,0,1,2,0,0,0,0,0,0,-,-,-,3,5,0,5
키움,두산,8,4,04.21,14:00,잠실,경기종료,6,0,0,1,0,1,0,0,0,-,-,-,8,10,1,11,0,1,0,0,1,0,1,1,0,-,-,-,4,13,1,0
LG,SSG,5,5,04.21,17:40,문학,경기종료,0,0,0,3,0,1,0,0,1,-,-,-,5,11,0,6,3,0,1,0,0,0,1,0,0,-,-,-,5,12,2,2
키움,두산,1,2,04.21,17:46,잠실,경기종료,0,0,0,0,0,0,0,0,1,-,-,-,1,7,0,2,0,0,0,0,0,0,0,0,2,-,-,-,2,7,1,1
KT,롯데,5,7,04.21,17:49,사직,경기종료,0,0,0,1,1,1,0,0,2,-,-,-,5,11,1,4,3,0,0,0,2,0,0,2,-,-,-,-,7,11,0,2
SSG,롯데,-,-,04.23,18:30,사직,경기취소,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
한화,KT,6,9,04.23,18:30,수원,경기종료,0,0,0,3,0,2,0,1,0,-,-,-,6,9,1,3,2,1,0,1,1,1,0,3,-,-,-,-,9,12,1,8
KIA,키움,5,2,04.23,18:30,고척,경기종료,1,0,0,0,1,0,0,0,0,3,-,-,5,9,0,3,0,0,0,0,0,0,0,2,0,3,-,-,2,12,0,4
LG,삼성,3,7,04.23,18:30,대구,경기종료,1,0,1,0,1,0,0,0,-,-,-,-,3,5,0,3,0,0,0,0,0,7,0,-,-,-,-,-,7,10,0,3
NC,두산,3,4,04.23,18:30,잠실,경기종료,0,1,0,0,0,0,1,0,1,-,-,-,3,8,2,6,0,0,0,0,1,3,0,0,-,-,-,-,4,11,0,1
한화,KT,1,7,04.24,18:30,수원,경기종료,1,0,0,0,0,0,0,0,0,-,-,-,1,3,2,1,0,0,3,4,0,0,0,0,-,-,-,-,7,12,0,2
KIA,키움,6,4,04.24,18:30,고척,경기종료,0,0,0,0,0,3,0,3,0,-,-,-,6,9,0,4,0,0,1,0,0,0,0,1,2,-,-,-,4,7,1,6
LG,삼성,0,6,04.24,18:30,대구,경기종료,0,0,0,0,0,0,0,0,0,-,-,-,0,1,0,6,1,1,0,1,0,3,0,0,-,-,-,-,6,10,2,2
NC,두산,3,1,04.24,18:30,잠실,경기종료,0,0,0,0,0,1,1,1,0,-,-,-,3,6,0,5,0,0,1,0,0,0,0,0,0,-,-,-,1,6,1,2
SSG,롯데,12,7,04.24,18:30,사직,경기종료,0,4,0,0,2,0,4,0,2,-,-,-,12,18,2,4,2,0,5,0,0,0,0,0,0,-,-,-,7,14,0,3
한화,KT,0,9,04.25,18:30,수원,경기종료,0,0,0,0,0,0,0,0,0,-,-,-,0,5,0,3,0,0,0,5,0,1,3,0,-,-,-,-,9,13,0,5
KIA,키움,13,2,04.25,18:30,고척,경기종료,0,0,0,3,5,0,0,4,1,-,-,-,13,16,0,6,0,0,0,0,2,0,0,0,0,-,-,-,2,5,0,1
LG,삼성,8,2,04.25,18:30,대구,경기종료,0,1,1,0,0,0,3,0,3,-,-,-,8,16,1,4,0,0,0,0,0,0,2,0,0,-,-,-,2,5,0,4
NC,두산,3,7,04.25,18:30,잠실,경기종료,0,0,0,0,0,0,1,2,0,-,-,-,3,5,1,3,4,0,2,0,0,0,1,0,-,-,-,-,7,9,2,2
SSG,롯데,3,6,04.25,18:30,사직,경기종료,0,0,0,0,0,2,0,1,0,-,-,-,3,8,3,3,2,0,0,2,0,0,2,0,-,-,-,-,6,8,1,4
KIA,LG,6,7,04.26,18:30,잠실,경기종료,0,0,4,1,0,1,0,0,0,-,-,-,6,14,2,8,1,0,0,0,3,3,0,0,-,-,-,-,7,10,1,5
KT,SSG,2,5,04.26,18:30,문학,경기종료,0,0,0,0,0,2,0,0,0,-,-,-,2,9,2,2,0,0,3,1,0,0,0,1,-,-,-,-,5,9,1,0
롯데,NC,0,4,04.26,18:30,창원,경기종료,0,0,0,0,0,0,0,0,0,-,-,-,0,5,0,0,0,0,1,1,0,0,0,2,-,-,-,-,4,8,0,2
두산,한화,10,5,04.26,18:30,대전,경기종료,0,1,3,2,2,0,2,0,0,-,-,-,10,13,0,6,0,0,0,1,1,0,3,0,0,-,-,-,5,9,2,3
삼성,키움,3,0,04.26,18:30,고척,경기종료,0,0,0,0,1,0,1,1,0,-,-,-,3,9,1,2,0,0,0,0,0,0,0,0,0,-,-,-,0,4,0,2
KIA,LG,3,6,04.27,14:00,잠실,경기종료,0,1,0,2,0,0,0,0,0,-,-,-,3,12,0,1,2,0,0,3,0,0,0,1,-,-,-,-,6,10,2,9
KT,SSG,5,2,04.27,17:00,문학,경기종료,0,1,2,0,1,0,0,1,0,-,-,-,5,10,0,3,0,0,0,0,0,1,0,0,1,-,-,-,2,6,0,3
롯데,NC,0,2,04.27,17:00,창원,경기종료,0,0,0,0,0,0,0,0,0,-,-,-,0,7,1,4,0,0,0,1,1,0,0,0,-,-,-,-,2,10,0,3
두산,한화,5,10,04.27,17:00,대전,경기종료,0,0,3,1,1,0,0,0,0,-,-,-,5,13,0,4,4,2,0,2,0,2,0,0,-,-,-,-,10,12,1,8
삼성,키움,11,0,04.27,17:00,고척,경기종료,0,0,0,0,1,0,0,7,3,-,-,-,11,15,0,7,0,0,0,0,0,0,0,0,0,-,-,-,0,5,1,4
KIA,LG,10,7,04.28,14:00,잠실,경기종료,3,0,0,2,0,0,3,1,1,-,-,-,10,16,0,5,1,0,1,0,5,0,0,0,0,-,-,-,7,12,3,4
KT,SSG,6,11,04.28,14:00,문학,경기종료,1,0,0,1,0,0,0,4,0,-,-,-,6,9,2,0,0,0,0,11,0,0,0,0,-,-,-,-,11,11,2,3
롯데,NC,3,5,04.28,14:00,창원,경기종료,1,1,1,0,0,0,0,0,0,-,-,-,3,7,0,1,2,0,0,2,0,1,0,0,-,-,-,-,5,8,0,2
두산,한화,17,8,04.28,14:00,대전,경기종료,5,0,0,4,6,2,0,0,0,-,-,-,17,20,2,6,1,4,1,0,2,0,0,0,0,-,-,-,8,9,0,8
삼성,키움,11,6,04.28,14:00,고척,경기종료,1,0,1,4,4,0,0,1,0,-,-,-,11,15,0,8,2,0,0,0,0,0,0,3,1,-,-,-,6,9,1,2
KT,KIA,11,4,04.30,18:30,광주,경기종료,3,0,2,1,2,1,0,2,0,-,-,-,11,16,0,6,0,0,0,0,2,2,0,0,0,-,-,-,4,8,2,2
LG,NC,0,8,04.30,18:30,창원,경기종료,0,0,0,0,0,0,0,0,0,-,-,-,0,6,2,4,5,1,0,1,0,1,0,0,-,-,-,-,8,11,0,3
SSG,한화,2,8,04.30,18:30,대전,경기종료,0,1,0,1,0,0,0,0,0,-,-,-,2,9,0,3,0,0,4,0,0,0,4,0,-,-,-,-,8,9,1,7
삼성,두산,0,4,04.30,18:30,잠실,경기종료,0,0,0,0,0,0,0,0,0,-,-,-,0,9,1,4,2,0,0,0,0,2,0,0,-,-,-,-,4,6,0,3
키움,롯데,9,7,04.30,18:30,사직,경기종료,5,0,0,0,0,2,0,2,0,-,-,-,9,10,0,8,0,0,0,0,0,2,1,1,3,-,-,-,7,14,1,4
KT,KIA,1,9,05.01,18:30,광주,경기종료,1,0,0,0,0,0,0,0,0,-,-,-,1,8,0,1,3,0,1,5,0,0,0,0,-,-,-,-,9,14,0,5
LG,NC,10,1,05.01,18:30,창원,경기종료,0,0,0,0,4,4,1,1,0,-,-,-,10,15,0,3,0,0,1,0,0,0,0,0,0,-,-,-,1,6,2,2
SSG,한화,8,7,05.01,18:30,대전,경기종료,0,0,0,1,0,1,6,0,0,-,-,-,8,8,1,7,2,2,1,1,0,0,0,0,1,-,-,-,7,12,2,9
삼성,두산,9,2,05.01,18:30,잠실,경기종료,1,0,0,0,0,4,4,0,0,-,-,-,9,12,0,3,0,1,0,0,1,0,0,0,0,-,-,-,2,7,2,5
키움,롯데,6,3,05.01,18:30,사직,경기종료,0,0,0,0,0,0,5,1,0,-,-,-,6,13,1,4,0,0,0,0,1,0,0,2,0,-,-,-,3,10,1,2
KT,KIA,12,5,05.02,18:30,광주,경기종료,0,0,5,0,0,0,1,6,0,-,-,-,12,10,0,4,1,2,0,0,0,0,0,1,1,-,-,-,5,11,5,3
LG,NC,5,4,05.02,18:30,창원,경기종료,0,0,4,0,0,0,0,0,0,1,-,-,5,8,1,7,0,0,0,0,0,2,2,0,0,1,-,-,4,9,0,9
SSG,한화,4,3,05.02,18:30,대전,경기종료,0,2,0,0,1,1,0,0,0,-,-,-,4,11,1,2,0,1,2,0,0,0,0,0,0,-,-,-,3,5,1,5
삼성,두산,4,2,05.02,18:30,잠실,경기종료,0,1,0,0,1,0,0,1,1,-,-,-,4,13,1,4,0,0,0,1,0,0,0,1,0,-,-,-,2,4,1,3
키움,롯데,5,6,05.02,18:30,사직,경기종료,1,0,3,0,0,1,0,0,0,-,-,-,5,11,1,4,0,1,0,0,4,0,0,1,-,-,-,-,6,9,0,2
한화,KIA,4,2,05.03,18:30,광주,경기종료,0,1,0,0,2,0,1,0,0,-,-,-,4,11,1,4,0,0,0,0,0,0,0,0,2,-,-,-,2,7,0,3
롯데,삼성,8,7,05.03,18:30,대구,경기종료,0,0,0,3,1,0,2,0,2,-,-,-,8,10,0,4,1,4,0,0,0,0,0,1,1,-,-,-,7,10,1,8
NC,SSG,19,5,05.03,18:30,문학,경기종료,0,0,5,1,1,10,1,0,1,-,-,-,19,14,0,11,0,0,0,3,0,0,0,2,0,-,-,-,5,10,0,5
두산,LG,6,4,05.03,18:30,잠실,경기종료,1,0,2,2,0,0,0,0,1,-,-,-,6,11,1,2,0,1,0,0,0,0,2,1,0,-,-,-,4,10,3,4
키움,KT,1,2,05.03,18:30,수원,경기종료,0,0,0,0,0,0,1,0,0,0,-,-,1,4,1,1,0,0,0,0,1,0,0,0,0,0,-,-,2,5,1,4
두산,LG,3,2,05.04,14:00,잠실,경기종료,2,0,0,1,0,0,0,0,0,-,-,-,3,10,0,3,0,0,0,0,2,0,0,0,0,-,-,-,2,6,1,6
한화,KIA,2,10,05.04,17:00,광주,경기종료,0,0,0,0,0,0,0,0,2,-,-,-,2,7,0,3,5,4,0,0,1,0,0,0,-,-,-,-,10,15,0,4
롯데,삼성,9,2,05.04,17:00,대구,경기종료,1,0,0,0,0,0,6,1,1,-,-,-,9,17,0,3,2,0,0,0,0,0,0,0,0,-,-,-,2,12,2,0
NC,SSG,8,6,05.04,17:00,문학,경기종료,0,0,0,3,0,3,1,1,0,-,-,-,8,12,0,12,1,0,1,0,0,1,3,0,0,-,-,-,6,9,0,10
키움,KT,2,6,05.04,17:00,수원,경기종료,0,1,0,0,0,1,0,0,0,-,-,-,2,8,0,1,1,1,1,1,1,0,0,1,-,-,-,-,6,14,1,4
한화,KIA,-,-,05.05,14:00,광주,경기취소,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
롯데,삼성,-,-,05.05,14:00,대구,경기취소,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NC,SSG,-,-,05.05,14:00,문학,경기취소,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
두산,LG,-,-,05.05,14:00,잠실,경기취소,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
키움,KT,-,-,05.05,14:00,수원,경기취소,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
한화,롯데,-,-,05.07,18:30,사직,경기취소,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KIA,삼성,-,-,05.07,18:30,대구,경기취소,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NC,KT,-,-,05.07,18:30,수원,경기취소,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
두산,키움,13,4,05.07,18:30,고척,경기종료,0,4,1,0,3,0,1,4,0,-,-,-,13,17,1,4,0,0,0,0,0,3,1,0,0,-,-,-,4,8,2,2
SSG,LG,4,2,05.07,18:30,잠실,경기종료,0,0,0,3,0,0,1,0,0,-,-,-,4,9,1,8,0,0,0,0,1,1,0,0,0,-,-,-,2,8,1,3
한화,롯데,1,6,05.08,18:30,사직,경기종료,0,0,0,0,0,0,0,1,0,-,-,-,1,4,2,1,1,0,0,0,4,0,0,1,-,-,-,-,6,10,0,2
KIA,삼성,4,2,05.08,18:30,대구,경기종료,0,0,0,0,0,0,0,1,1,0,0,2,4,12,2,8,0,0,0,0,0,1,1,0,0,0,0,2,2,6,0,3
NC,KT,6,7,05.08,18:30,수원,경기종료,0,0,0,3,0,1,0,2,0,0,0,-,6,12,3,3,0,2,1,1,0,0,2,0,0,0,0,-,7,11,1,5
두산,키움,6,1,05.08,18:30,고척,경기종료,0,0,1,0,0,1,0,3,1,-,-,-,6,13,0,3,0,0,1,0,0,0,0,0,0,-,-,-,1,6,1,1
SSG,LG,5,8,05.08,18:30,잠실,경기종료,3,0,0,0,2,0,0,0,0,-,-,-,5,7,0,3,1,0,0,0,4,2,1,0,-,-,-,-,8,5,0,9
한화,롯데,5,18,05.09,18:30,사직,경기종료,2,0,0,3,0,0,0,0,0,-,-,-,5,13,2,3,4,1,3,0,0,2,0,8,-,-,-,-,18,19,0,8
KIA,삼성,2,5,05.09,18:30,대구,경기종료,0,0,2,0,0,0,0,0,0,-,-,-,2,3,0,5,0,1,0,0,0,1,0,3,-,-,-,-,5,9,1,6
NC,KT,2,6,05.09,18:30,수원,경기종료,1,0,0,0,0,0,1,0,0,-,-,-,2,7,1,3,1,0,1,1,0,0,1,2,-,-,-,-,6,13,1,2
두산,키움,5,2,05.09,18:30,고척,경기종료,0,2,0,0,0,0,0,0,3,-,-,-,5,14,0,1,0,1,0,0,1,0,0,0,0,-,-,-,2,7,0,2
SSG,LG,1,3,05.09,18:30,잠실,경기종료,0,0,0,0,0,1,0,0,0,-,-,-,1,5,0,4,0,0,0,0,0,0,3,0,-,-,-,-,3,4,0,4
KT,두산,3,7,05.10,18:30,잠실,경기종료,0,2,0,1,0,0,0,0,0,-,-,-,3,10,2,8,2,0,1,1,1,0,1,1,-,-,-,-,7,14,0,3
LG,롯데,9,1,05.10,18:30,사직,경기종료,2,0,0,0,0,4,1,2,0,-,-,-,9,11,1,8,0,0,1,0,0,0,0,0,0,-,-,-,1,6,5,3
SSG,KIA,4,2,05.10,18:30,광주,경기종료,0,0,1,0,0,0,0,3,0,-,-,-,4,9,0,4,0,0,0,0,0,0,2,0,0,-,-,-,2,10,0,2
삼성,NC,3,10,05.10,18:30,창원,경기종료,0,0,0,0,0,0,0,3,0,-,-,-,3,4,1,4,0,0,0,0,1,0,9,0,-,-,-,-,10,11,2,8
키움,한화,4,5,05.10,18:30,대전,경기종료,0,0,0,0,0,1,3,0,0,0,-,-,4,12,0,2,0,3,0,0,0,0,0,1,0,0,-,-,5,15,2,5
키움,한화,7,1,05.11,14:00,대전,경기종료,0,0,2,0,0,1,0,4,0,-,-,-,7,11,2,8,0,0,0,0,0,0,0,0,1,-,-,-,1,6,0,3
KT,두산,-,-,05.11,17:00,잠실,경기취소,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SSG,KIA,-,-,05.11,17:00,광주,경기취소,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LG,롯데,2,1,05.11,17:00,사직,경기종료,0,0,0,1,0,1,0,0,0,-,-,-,2,12,1,5,0,0,0,0,0,0,0,1,0,-,-,-,1,8,1,3
삼성,NC,3,2,05.11,17:00,창원,경기종료,0,0,0,0,0,0,3,0,0,-,-,-,3,7,0,6,0,0,0,2,0,0,0,0,0,-,-,-,2,8,0,5
KT,두산,4,12,05.12,14:00,잠실,경기종료,2,0,0,0,0,0,0,2,0,-,-,-,4,6,1,2,0,5,2,0,1,0,3,1,-,-,-,-,12,14,0,10
LG,롯데,6,4,05.12,14:00,사직,경기종료,1,0,1,1,0,0,0,3,0,-,-,-,6,11,0,5,2,1,0,0,0,1,0,0,0,-,-,-,4,9,2,7
SSG,KIA,2,3,05.12,14:00,광주,경기종료,0,0,0,1,0,0,1,0,0,-,-,-,2,5,0,4,0,0,0,2,0,0,1,0,-,-,-,-,3,8,2,4
삼성,NC,7,2,05.12,14:00,창원,경기종료,1,1,0,0,0,2,1,0,2,-,-,-,7,10,0,5,0,0,0,2,0,0,0,0,0,-,-,-,2,7,0,1
키움,한화,3,8,05.12,14:00,대전,경기종료,0,0,1,0,0,0,0,2,0,-,-,-,3,9,3,3,0,0,2,3,2,0,1,0,-,-,-,-,8,9,1,5
KT,두산,4,8,05.12,17:29,잠실,경기종료,0,0,0,0,0,0,2,1,1,-,-,-,4,11,0,3,3,0,4,0,0,0,0,1,-,-,-,-,8,11,1,8
SSG,KIA,10,6,05.12,17:40,광주,경기종료,2,0,0,1,0,1,2,2,2,-,-,-,10,13,0,9,2,0,3,0,1,0,0,0,0,-,-,-,6,11,3,4
롯데,KT,4,7,05.14,18:30,수원,경기종료,0,0,0,1,1,0,1,1,0,-,-,-,4,7,1,3,0,0,1,0,0,0,3,3,-,-,-,-,7,9,0,9
NC,한화,5,5,05.14,18:30,대전,경기종료,0,0,0,0,1,1,3,0,0,0,0,0,5,12,0,9,0,0,0,0,3,0,0,2,0,0,0,0,5,10,1,4
두산,KIA,8,5,05.14,18:30,광주,경기종료,3,0,0,0,3,0,2,0,0,-,-,-,8,15,0,3,0,2,0,0,0,0,0,0,3,-,-,-,5,12,0,4
삼성,SSG,2,9,05.14,18:30,문학,경기종료,0,0,0,0,0,0,0,0,2,-,-,-,2,6,1,5,0,2,2,0,0,0,5,0,-,-,-,-,9,11,0,3
키움,LG,5,0,05.14,18:30,잠실,경기종료,0,0,2,0,0,0,2,1,0,-,-,-,5,14,2,3,0,0,0,0,0,0,0,0,0,-,-,-,0,3,1,4
롯데,KT,-,-,05.15,14:00,수원,경기취소,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
삼성,SSG,-,-,05.15,14:00,문학,경기취소,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
